Trajectories
100
,,test2:hip_center,,,test2:hip_top,,,test2:hip_bottom,,,test2:knee,,,test2:heel,,,test2:toe,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,394.328,94.3637,-372.656,272.408,104.039,-369.118,466.875,76.7746,-394.216,325.34,-7.09009,-322.21,534.468,-65.2545,-408.88,515.394,-116.366,-356.816
2,0,394.344,94.3378,-372.693,272.376,104.077,-369.079,466.876,76.8212,-394.224,325.311,-7.03842,-322.161,534.464,-65.254,-408.864,515.397,-116.322,-356.751
3,0,394.32,94.3924,-372.644,272.413,104.07,-369.128,466.853,76.8263,-394.228,325.316,-7.0642,-322.205,534.485,-65.2642,-408.889,515.406,-116.335,-356.786
4,0,394.342,94.3831,-372.684,272.397,104.037,-369.161,466.888,76.7913,-394.239,325.327,-7.0596,-322.194,534.484,-65.2547,-408.88,515.399,-116.34,-356.805
5,0,394.35,94.3246,-372.708,272.421,104.056,-369.131,466.872,76.749,-394.256,325.358,-7.06809,-322.183,534.496,-65.3013,-408.916,515.439,-116.359,-356.837
6,0,394.346,94.3223,-372.709,272.407,104.043,-369.143,466.875,76.7717,-394.253,325.356,-7.10096,-322.246,534.483,-65.3121,-408.91,515.423,-116.373,-356.834
7,0,394.331,94.3395,-372.689,272.38,104.065,-369.116,466.869,76.7995,-394.252,325.32,-7.07982,-322.187,534.463,-65.2645,-408.882,515.393,-116.37,-356.821
8,0,394.342,94.3351,-372.676,272.369,104.07,-369.114,466.875,76.8445,-394.248,325.304,-7.06553,-322.174,534.451,-65.2535,-408.865,515.341,-116.344,-356.801
9,0,394.348,94.3556,-372.654,272.393,104.051,-369.115,466.88,76.7997,-394.269,325.305,-7.07149,-322.203,534.467,-65.2398,-408.867,515.403,-116.359,-356.812
10,0,394.368,94.3807,-372.634,272.406,104.082,-369.093,466.87,76.8055,-394.248,325.327,-7.05767,-322.211,534.504,-65.2687,-408.878,515.387,-116.348,-356.806
11,0,394.382,94.3243,-372.682,272.402,104.057,-369.136,466.889,76.7685,-394.383,325.314,-7.05153,-322.231,534.484,-65.2737,-408.884,515.395,-116.363,-356.815
12,0,394.379,94.3536,-372.627,272.427,104.044,-369.128,466.865,76.7544,-394.351,325.334,-7.06855,-322.217,534.486,-65.2505,-408.872,515.401,-116.379,-356.854
13,0,394.382,94.2971,-372.657,272.384,104.029,-369.122,466.895,76.7682,-394.314,325.332,-7.0833,-322.233,534.487,-65.2719,-408.882,515.383,-116.387,-356.824
14,0,394.35,94.3072,-372.621,272.384,104.03,-369.133,466.834,76.8007,-394.206,325.308,-7.07481,-322.227,534.488,-65.2609,-408.854,515.391,-116.4,-356.843
15,0,394.363,94.3507,-372.617,272.366,104.059,-369.118,466.895,76.7941,-394.329,325.28,-7.06652,-322.278,534.462,-65.2408,-408.85,515.375,-116.34,-356.822
16,0,394.412,94.3183,-372.665,272.398,104.074,-369.123,466.848,76.8205,-394.295,325.295,-7.06172,-322.255,534.462,-65.2458,-408.912,515.379,-116.366,-356.835
17,0,394.391,94.3216,-372.616,272.402,104.074,-369.142,466.918,76.7566,-394.401,325.329,-7.06041,-322.235,534.491,-65.2651,-408.891,515.388,-116.397,-356.859
