Trajectories
100
,,2-19-16:hip_center,,,2-19-16:hip_top,,,2-19-16:hip_bottom,,,2-19-16:knee,,,2-19-16:heel,,,2-19-16:toe,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,17.8401,294.614,-42.7358,-87.1918,350.72,-26.0838,97.7988,242.338,-93.2149,-3.6023,165.53,-19.1294,102.905,154.585,-69.5077,77.3626,58.1755,-53.5933
2,0,16.1263,297.467,-41.5793,-90.0724,353.356,-26.0018,96.6642,246.499,-93.2149,-6.15868,171.159,-16.313,100.009,164.583,-66.157,77.2497,65.6451,-51.2294
3,0,14.5124,300.21,-40.0379,-92.5968,355.582,-25.4753,95.9477,251.885,-93.109,-7.51255,176.413,-13.421,98.9105,175.35,-62.6925,72.6844,74.9842,-47.2087
4,0,13.0278,302.725,-38.3908,-94.8213,357.616,-24.3049,94.757,257.484,-93.128,-7.81601,180.97,-10.8821,96.5291,182.01,-58.7429,59.1057,83.762,-41.4065
5,0,12.005,304.923,-37.248,-96.6288,359.56,-23.2591,92.3092,259.035,-92.7833,-9.30806,184.777,-8.33346,91.7291,181.694,-54.5687,37.5601,91.4668,-34.2343
6,0,11.3176,306.424,-35.3588,-98.1456,361.326,-21.9236,89.5301,255.151,-91.3012,-14.1523,187.134,-5.75076,82.8007,172.759,-52.2745,12.5458,96.9999,-25.4671
7,0,10.6159,306.995,-32.7732,-99.8748,362.635,-20.5843,86.3224,248.663,-88.3511,-22.3759,187.624,-4.07069,68.5929,155.378,-52.2717,-13.2505,98.5851,-16.7868
8,0,9.67169,306.517,-29.7298,-101.713,363.632,-18.8921,82.3857,243.159,-85.2024,-32.1471,186.143,-2.79517,47.1139,131.984,-54.8268,-40.9462,96.712,-10.2667
9,0,7.90295,305.249,-27.419,-103.515,364.038,-16.9253,77.7954,238.462,-82.1082,-41.662,183.449,-2.37642,18.3557,107.926,-57.3437,-70.113,92.1116,-5.23892
10,0,5.50571,303.256,-25.2369,-105.034,363.761,-14.6333,73.185,233.601,-78.7134,-50.3667,180.551,-4.3323,-15.0006,86.757,-58.1942,-100.519,84.434,-1.10704
11,0,2.81614,300.239,-22.4671,-106.596,362.621,-12.2904,68.8072,228.833,-74.6696,-58.6719,178.359,-7.0344,-47.6595,70.9085,-56.1243,-130.934,72.2987,2.61917
12,0,-0.807385,296.684,-19.0317,-108.575,361.011,-10.0002,64.2557,223.822,-70.545,-67.5195,175.356,-6.45658,-74.769,59.7177,-52.4419,-159.27,55.7951,4.70787
13,0,-4.49505,292.135,-14.8963,-110.444,358.581,-7.46838,59.8873,218.341,-66.3095,-76.1229,171.032,-3.12506,-93.6968,52.1679,-49.6275,-180.499,41.4082,3.75724
14,0,-7.51615,287.458,-10.6926,-111.811,356.01,-4.53501,56.5903,212.98,-62.5149,-81.7995,166.924,0.181399,-102.93,47.1042,-50.6338,-190.737,30.0354,0.0929059
15,0,-8.8811,283.157,-6.69091,-112.252,353.029,-1.03443,55.2514,208.489,-59.0383,-84.2407,162.357,1.69222,-105.543,43.3354,-54.2656,-188.558,24.4155,-7.01361
16,0,-8.94917,278.457,-3.0768,-111.592,349.621,3.21843,55.825,204.462,-56.0797,-84.1434,156.958,1.51631,-102.894,40.5754,-61.3263,-186.95,29.5227,-19.4732
17,0,-8.44563,273.061,0.070116,-109.733,345.783,7.94637,57.3119,200.649,-53.8679,-81.9932,149.681,-0.27725,-97.0901,35.1815,-69.7755,-183.036,31.3115,-25.4266
18,0,-6.78991,267.289,3.90982,-107.346,340.81,13.6996,58.7369,195.93,-52.1887,-78.7306,142.264,-1.89183,-91.0668,33.1116,-73.5698,-175.275,31.0969,-26.1073
19,0,-2.99255,262.081,7.72797,-103.188,334.779,22.1185,60.4402,190.991,-51.0959,-76.164,140.133,-1.40105,-84.4805,32.802,-73.6965,-168.165,30.8255,-25.8499
20,0,0.241502,258.422,10.9236,-99.2168,331.085,26.2392,62.3814,188.132,-49.2172,-74.1988,139.104,0.665184,-77.8073,32.6901,-73.9582,-161.465,30.9879,-25.9175
21,0,2.51691,256.474,14.3728,-95.9083,328.796,30.5833,64.0212,186.577,-46.493,-71.8258,136.795,2.1151,-70.96,33.0011,-73.7038,-154.549,31.2312,-26.114
22,0,4.89845,254.94,17.7928,-92.7315,327.647,35.1463,66.0491,185.681,-43.9482,-68.5333,135.007,3.36582,-64.549,33.2667,-73.2944,-147.938,31.4241,-26.1136
23,0,8.33759,254.033,20.8787,-89.0928,327.031,39.6855,68.8313,185.33,-41.87,-64.9024,134.262,4.84051,-58.1374,33.6856,-72.9899,-141.166,31.6262,-26.0098
24,0,12.1962,253.518,23.7223,-85.062,326.446,44.0938,72.0617,185.588,-39.8088,-60.6239,133.957,6.0448,-51.3254,34.2104,-72.578,-134.142,31.752,-26.1798
25,0,16.1943,253.306,26.4325,-80.7684,326.073,48.5058,75.6375,186.483,-38.1092,-55.7937,133.567,7.03399,-44.1392,34.8349,-72.2133,-126.763,31.7816,-26.1463
26,0,20.1257,253.211,28.5368,-76.5693,325.959,52.5878,78.9013,187.468,-36.5598,-50.9786,133.332,8.26298,-36.6389,35.4343,-71.6703,-118.879,32.0109,-26.1189
27,0,23.7489,252.836,30.5972,-72.6431,325.597,56.3259,82.1905,188.199,-35.4299,-46.8091,132.897,9.02351,-29.2387,36.0513,-70.9946,-111.454,32.2291,-26.3992
28,0,26.6481,252.631,32.613,-69.7682,324.716,59.5146,85.3426,189.388,-34.2015,-42.875,132.503,9.80317,-22.5113,36.9562,-70.2701,-104.491,32.4636,-26.7423
29,0,28.6743,252.891,34.6461,-67.886,323.904,62.5092,88.0928,190.961,-32.7594,-39.0183,132.368,10.9793,-16.2292,37.8326,-70.137,-97.7522,32.7529,-26.6872
30,0,30.7153,253.352,36.227,-66.0286,322.923,65.0198,91.135,192.52,-31.8578,-35.1605,132.381,12.0478,-10.0378,39.034,-69.305,-91.5252,32.9591,-26.6941
31,0,33.0703,253.497,37.3612,-63.9082,321.58,66.8686,94.0988,193.388,-31.4391,-31.3005,132.257,13.0236,-3.83841,40.2879,-68.6223,-85.1294,33.1808,-26.8105
32,0,35.7233,252.806,37.9783,-61.3435,320.099,68.2963,97,193.183,-31.382,-27.5921,131.428,13.6186,2.63917,40.9439,-68.3786,-78.2249,33.3008,-27.0195
33,0,38.7978,251.587,37.9464,-58.1192,318.211,68.9735,100.411,192.395,-32.1571,-23.3746,130.016,13.5111,9.66319,41.762,-68.2478,-70.8379,33.5118,-27.2009
34,0,42.4757,250.091,37.2732,-54.2596,315.962,69.3021,104.161,191.741,-33.4494,-18.6397,128.599,13.2741,16.743,42.8165,-68.0919,-63.6471,33.7703,-27.4678
35,0,46.1087,248.575,36.0985,-50.5184,313.407,69.2835,107.643,191.164,-35.2511,-13.8773,126.997,13.2136,23.3231,43.5123,-68.2794,-56.8998,34.0268,-27.7312
36,0,49.5245,247.262,34.6659,-46.8856,310.891,69.0419,110.869,190.579,-37.3924,-9.35054,125.185,12.9893,29.4492,44.1614,-68.6663,-50.644,34.3252,-27.98
37,0,53.0186,246.216,32.8728,-43.0173,309.105,68.5664,113.854,189.936,-39.8803,-4.87105,123.857,12.6637,35.736,45.1954,-69.0711,-44.259,34.6486,-28.3396
38,0,56.7461,245.744,31.0517,-38.5874,308.089,67.8579,116.745,189.548,-42.4069,-0.454499,123.149,12.6569,41.6665,46.5784,-69.5953,-38.2529,34.9625,-28.6162
39,0,60.7723,245.343,28.9909,-33.7366,307.473,67.1551,119.555,188.644,-44.9308,3.78476,122.161,12.8394,47.78,48.0743,-70.5321,-31.9899,35.463,-28.983
40,0,64.7672,244.66,27.028,-28.8991,306.884,66.4317,122.396,187.701,-47.3925,8.30591,120.65,13.095,54.349,49.7497,-71.1796,-25.2855,35.9534,-29.2875
41,0,68.664,244.143,25.0252,-24.0685,306.782,65.6003,125.328,186.676,-49.5487,12.9799,119.564,13.3661,61.1779,51.4764,-71.5497,-18.125,36.3714,-29.5764
42,0,72.6803,244.152,22.9738,-19.0467,307.177,64.3177,128.566,185.756,-51.3703,17.6745,118.979,13.7677,68.4127,53.296,-71.5089,-10.467,36.7581,-29.7304
43,0,76.9409,244.279,20.7946,-14.2541,307.555,62.7191,132.199,185.069,-53.4051,22.6722,118.628,13.9157,75.338,54.7956,-71.8538,-3.22608,37.0474,-30.1284
44,0,81.0203,244.597,18.758,-10.0776,308.078,60.9332,135.926,184.515,-55.2312,27.7719,118.287,13.887,81.7635,56.3279,-71.7131,3.47588,37.4928,-30.2342
45,0,84.8531,244.786,16.9588,-5.74776,308.842,59.2069,139.45,183.806,-56.6102,32.4918,118.077,13.9817,88.0066,58.0576,-71.4983,9.8787,37.8275,-30.3946
46,0,89.0506,244.816,15.0335,-1.38052,309.421,57.3983,143.175,182.794,-58.2546,36.9541,118.004,14.124,93.7138,59.7005,-71.3487,15.7207,38.3336,-30.4643
47,0,93.2813,244.344,13.142,2.80556,309.443,55.3889,146.973,181.377,-59.9524,41.4327,117.56,14.2183,99.3125,61.3122,-71.3242,21.5224,38.8421,-30.7417
48,0,97.4288,243.505,11.1613,6.75101,309.177,53.2765,150.932,179.81,-61.4974,45.8767,116.646,14.1031,105.52,62.5141,-71.3153,27.9126,39.2192,-31.0824
49,0,101.426,242.904,9.1872,10.3352,309.061,50.7829,155.047,178.567,-62.8486,50.7994,115.603,13.9263,112.043,64.441,-70.9699,34.8769,39.5305,-31.2428
50,0,105.138,242.692,7.55526,14.0039,309.665,48.4193,158.913,177.524,-63.7727,55.6064,115.096,14.3111,118.395,66.2757,-70.1663,41.5558,40.0248,-31.2651
51,0,109.066,242.334,6.35939,17.7661,310.32,46.9597,162.699,176.551,-64.3767,60.2361,114.882,14.8246,124.415,68.1268,-69.5367,48.0059,40.3869,-31.4454
52,0,112.735,242.052,6.17576,21.0033,310.388,46.5372,166.432,176.382,-64.606,64.919,114.403,15.2365,130.272,70.3513,-69.1924,54.3261,40.8333,-31.7002
53,0,116.009,242.165,6.62199,24.1362,310.513,46.648,170.253,176.92,-64.3267,69.577,114.076,16.0866,135.992,72.6503,-68.3693,60.6705,41.2459,-31.6864
54,0,119.247,242.515,6.88068,27.0874,310.763,46.7892,174.104,177.861,-63.6476,73.8684,114.644,16.8357,141.214,74.6173,-67.483,66.3917,41.6918,-31.4831
55,0,122.159,243.052,7.33204,29.9122,311.126,46.7341,177.949,178.802,-62.9957,77.8219,115.302,17.2672,146.485,76.6431,-66.7778,72.477,41.9977,-31.4198
56,0,125.413,243.512,7.51868,33.3004,311.612,46.4913,182.124,179.639,-62.7263,81.7122,115.644,17.7778,152.304,78.5515,-66.2679,79.3687,42.9013,-33.6758
57,0,129.536,243.89,7.28118,37.5227,311.834,46.2187,186.631,180.22,-62.9768,86.3845,116.412,17.7993,158.218,80.4346,-65.6065,85.9182,43.305,-33.822
58,0,134.187,244.166,6.73909,41.8191,311.544,45.8366,191.485,181.157,-63.422,91.3677,117.126,17.7554,164.412,82.4014,-65.0316,92.6945,43.7066,-33.8654
59,0,138.87,244.289,5.87785,46.2447,310.892,45.1093,196.539,182.152,-64.4262,96.6843,117.561,17.3975,170.224,84.0608,-65.069,98.9942,44.038,-33.8715
