

Trajectories
100
,,two_spineMJ:spine_top,,,two_spineMJ:spine_bottom,,,two_spineMJ:hip_top,,,two_spineMJ:hip_bottom,,,two_spineMJ:hip_middle,,,two_spineMJ:knee,,,two_spineMJ:heel,,,two_spineMJ:foot_mid,,,two_spineMJ:toe,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,567.421,133.84,61.5062,671.565,91.5709,39.9686,491.113,103.885,121.504,667.171,45.8748,87.8862,610.977,62.003,115.138,516.215,-63.1267,144.466,701.026,-152.349,85.5488,706.802,-226.879,102.623,718.491,-305.989,102.149
2,0,567.403,133.846,61.4925,671.565,91.571,39.9686,491.113,103.885,121.504,667.171,45.8748,87.8862,610.974,61.9531,115.105,516.201,-63.1189,144.483,701.022,-152.366,85.5571,706.773,-226.878,102.64,718.47,-305.951,102.174
3,0,567.388,133.856,61.5026,671.561,91.5964,39.986,491.114,103.9,121.513,667.174,45.8943,87.8994,610.977,62.003,115.138,516.187,-63.1088,144.492,701.031,-152.331,85.5861,706.799,-226.861,102.663,718.474,-305.953,102.144
4,0,567.381,133.851,61.5467,671.561,91.5961,39.9859,491.113,103.885,121.504,667.171,45.8748,87.8862,610.974,61.9835,115.125,516.197,-63.1347,144.503,701.013,-152.323,85.6118,706.801,-226.834,102.631,718.52,-305.931,102.143
5,0,567.365,133.845,61.5477,671.556,91.5635,39.9467,491.113,103.885,121.504,667.188,45.87,87.9347,610.956,61.9897,115.125,516.199,-63.1375,144.53,701.05,-152.337,85.6021,706.819,-226.858,102.666,718.502,-305.922,102.197
6,0,567.402,133.823,61.5024,671.559,91.5715,39.9967,491.11,103.88,121.525,667.189,45.8692,87.9253,610.974,61.9834,115.125,516.199,-63.133,144.531,701.053,-152.333,85.6312,706.793,-226.87,102.6,718.511,-305.929,102.208
7,0,567.398,133.851,61.5169,671.574,91.5626,39.9861,491.127,103.863,121.538,667.194,45.8892,87.9766,610.973,61.9841,115.173,516.201,-63.1126,144.54,701.047,-152.349,85.5677,706.808,-226.832,102.573,718.533,-305.939,102.142
8,0,567.418,133.848,61.5304,671.558,91.5741,39.9949,491.109,103.839,121.529,667.21,45.8627,87.9585,610.974,61.9546,115.201,516.208,-63.1487,144.49,701.049,-152.346,85.5665,706.814,-226.857,102.527,718.532,-305.938,102.132
9,0,567.415,133.877,61.5462,671.552,91.5753,40.0247,491.111,103.863,121.562,667.193,45.8682,87.9523,610.975,61.9537,115.153,516.204,-63.1206,144.506,701.046,-152.314,85.5818,706.829,-226.848,102.529,718.544,-305.911,102.127
10,0,567.416,133.874,61.5715,671.574,91.5743,40.0568,491.102,103.853,121.538,667.194,45.8676,87.9457,610.974,61.9841,115.173,516.219,-63.0974,144.537,701.066,-152.311,85.6016,706.808,-226.834,102.57,718.521,-305.9,102.204
